campo,activo,meses_inactivo,operadora,departamento,latitud,longitud,meses_historia,bpd_medio,bpd_ultimo,bpd_pico,madurez,declinacion_anual_pct,arps_b,arps_tipo,arps_exito,volatilidad,meses_sin_produccion
ABANICO,True,0,ECOPETROL S.A.,TOLIMA,4.219056,-74.88020793,147,531.728722567421,331.25354838709677,1114.892857142857,0.29711693483802765,0.33525692947647956,4.745053168814196e-07,exponencial,True,0.10892512691469199,0
ABARCO,False,7,ECOPETROL S.A.,BOYACA,6.14838639,-74.55054922,140,3396.07658912397,1331.9032258064517,7254.741935483871,0.1835907104141007,5.612885918142673,0.0,exponencial,True,0.08385815081718434,0
ABEJAS,True,0,PERENCO COLOMBIA LIMITED,CASANARE,5.558268548,-71.15906959,140,798.551504793686,2909.074838709678,2999.311612903226,0.9699141717034856,0.001199992800038352,1.0,armónica,True,0.5621109224335824,0
ACACIA ESTE,False,71,SAN AGUSTIN ENERGY CORP SUCURSAL COLOMBIA,SANTANDER,6.371983001,-74.411411,59,4.818860162982634,0.5666666666666667,10.133333333333333,0.05592105263157895,0.001199992800038352,1.0,armónica,True,0.41185205704250727,0
ACAE SAN MIGUEL,False,5,ECOPETROL S.A.,PUTUMAYO,0.2949802459607843,-76.90753110568627,142,1406.3805858883372,717.9032258064516,3102.1290322580644,0.231422748164632,20.519818495769606,0.9999999999999999,armónica,True,0.20005869940323917,0
ACORDIONERO,True,0,GRAN TIERRA ENERGY COLOMBIA GMBH SUCURSAL COLOMBIA,CESAR,7.945521262,-73.56929489,146,12075.72476822838,10120.688387096776,22186.566666666666,0.4561628907776076,14.39040892938186,0.0,exponencial,True,0.19018187625933966,0
ADALIA,True,0,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,CASANARE,5.103673408,-71.10090414,143,466.39696273415126,138.35967741935482,1725.0333333333333,0.08020695875597852,2.5295802159842395,0.0,exponencial,True,0.32920925813106056,0
AGAPANTO,False,39,EMERALD ENERGY PLC SUCURSAL COLOMBIA,PUTUMAYO,0.83872655,-76.57542493,63,158.6832154564953,105.90322580645162,326.46666666666664,0.32439215582944136,9.043812089402847,0.9999999999999996,armónica,True,0.6756495217841103,0
AGAVE,False,21,LEWIS ENERGY COLOMBIA INC,CASANARE,5.35459499,-71.26548274,34,39.82265721639045,0.1,444.0967741935484,0.00022517614585603255,27.818027229542142,1.0291318708636685e-07,exponencial,True,1.570387910426928,0
AGUAS BLANCAS,True,0,PAREX RESOURCES COLOMBIA LTD. SUCURSAL,SANTANDER,6.81604418,-73.78599142,142,177.5198215246242,82.2267741935484,1008.0645161290323,0.08156896,39.31400879516181,0.9999999999992608,armónica,True,0.8455518713787081,0
AKACIAS,True,0,ECOPETROL S.A.,META,3.949549818,-73.72589044,137,14452.710728171685,30282.345161290323,30282.345161290323,1.0,0.0011999928000272497,1.0,armónica,True,0.8641365893425885,0
AKIRA,True,0,VERANO ENERGY (SWITZERLAND) AG SUCURSAL,CASANARE,4.351915681,-72.70796792,147,2082.9406190083423,1626.9270967741934,4399.032258064516,0.3698375009166239,16.1773369301763,0.0,exponencial,True,0.23355227272220164,0
ALEPE,True,0,OIRU CORPORATION,CASANARE,4.792115796,-71.58381426,144,117.37726137783163,42.94387096774194,235.36666666666667,0.1824551945945699,8.424123979058395,0.0,exponencial,True,0.24248155427652213,0
ALMAGRO,False,41,IBEROAMERICANA DE HIDROCARBUROS ENERGY COLOMBIA S.A.S,META,3.900245012,-72.65874228,106,403.7761386815939,258.51612903225805,715.3666666666667,0.36137569875437964,29.112820871128886,1.0,armónica,True,0.1496820234369051,0
ALQAMARI,True,0,ECOPETROL S.A.,PUTUMAYO,0.5500763387,-77.09489437,25,549.4359101382489,404.33774193548385,800.5483870967741,0.5050759559979047,5.410055460659368,0.0,exponencial,True,0.22431716013432734,0
ALTAIR,False,96,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ANTES MERCANTILE COLOMBIA OIL AND GAS MCOG,CASANARE,5.098926794,-71.36775386,51,76.05303771490057,36.03225806451613,136.16129032258064,0.2646292347784885,30.44517297401985,0.49312350396410937,hiperbólica,True,0.18206504481195485,0
ALVA SUR,True,0,OIRU CORPORATION,CASANARE,4.837758308,-71.52884786,107,159.382128882262,211.11290322580646,686.0,0.3077447568889307,18.29625311208516,0.19447670988222254,hiperbólica,True,0.747670024170981,0
AMBAR,False,88,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",META,4.035341062,-71.42315795,59,2063.14867532843,1959.4,3549.766666666667,0.5519799423436282,12.864238143467887,0.9999999999999922,armónica,True,0.08671346846488491,0
AMBROSÍA,True,0,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ANTES MERCANTILE COLOMBIA OIL AND GAS MCOG,TOLIMA,4.614731,-74.867885,146,31.42658215949156,19.877741935483872,49.935483870967744,0.39806847545219637,12.8504704106718,0.0,exponencial,True,0.4061603937603657,0
