,ganancia_pct
operadora,15.26185847077943
rel_lag0,9.89930473998011
log_ancla,9.213108111986179
h,8.213237343485787
rel_maximo,7.207211014861052
volatilidad12,6.8150619956985565
departamento,5.746943634465009
meses_observados,5.312750801333819
edad_meses,5.030200575482059
rel_lag12,4.207461607453721
volatilidad6,4.170426589637001
rel_lag6,3.6232682064083392
pendiente12,3.0813052515989496
rel_lag3,2.484721988911503
pendiente6,2.371517747234046
pendiente3,2.2517108495805727
rel_lag2,2.11571663796656
rel_lag1,1.7764456853308352
mes,0.8668422656832048
frac_huecos12,0.3509064821232621
meses_sin_reporte,0.0
