h,clase,Naive,Arps-24m,ML-global,corte
1,0.5-5k,0.6,0.0,0.4,2023-03-01
1,<0.5k,0.4,0.1,0.5,2023-03-01
2,0.5-5k,0.2,0.0,0.8,2023-03-01
2,<0.5k,0.3,0.3,0.4,2023-03-01
3,0.5-5k,0.5,0.1,0.4,2023-03-01
3,<0.5k,0.1,0.3,0.6,2023-03-01
4,0.5-5k,0.6,0.0,0.4,2023-03-01
4,<0.5k,0.1,0.4,0.5,2023-03-01
5,0.5-5k,0.3,0.0,0.7,2023-03-01
5,<0.5k,0.1,0.3,0.6,2023-03-01
6,0.5-5k,0.4,0.0,0.6,2023-03-01
6,<0.5k,0.3,0.3,0.4,2023-03-01
7,0.5-5k,0.5,0.0,0.5,2023-03-01
7,<0.5k,0.1,0.2,0.7,2023-03-01
8,0.5-5k,0.7,0.1,0.2,2023-03-01
8,<0.5k,0.2,0.2,0.6,2023-03-01
9,0.5-5k,0.7,0.0,0.3,2023-03-01
9,<0.5k,0.3,0.2,0.5,2023-03-01
10,0.5-5k,0.5,0.1,0.4,2023-03-01
10,<0.5k,0.4,0.3,0.3,2023-03-01
11,0.5-5k,0.4,0.5,0.1,2023-03-01
11,<0.5k,0.3,0.3,0.4,2023-03-01
12,0.5-5k,0.7,0.0,0.3,2023-03-01
12,<0.5k,0.2,0.2,0.6,2023-03-01
1,0.5-5k,0.6,0.0,0.4,2024-03-01
1,<0.5k,0.8,0.1,0.1,2024-03-01
2,0.5-5k,0.8,0.0,0.2,2024-03-01
2,<0.5k,0.5,0.3,0.2,2024-03-01
3,0.5-5k,0.6,0.0,0.4,2024-03-01
3,<0.5k,0.3,0.2,0.5,2024-03-01
4,0.5-5k,0.2,0.0,0.8,2024-03-01
4,<0.5k,0.2,0.3,0.5,2024-03-01
5,0.5-5k,0.2,0.1,0.7,2024-03-01
5,<0.5k,0.2,0.2,0.6,2024-03-01
6,0.5-5k,0.0,0.0,1.0,2024-03-01
6,<0.5k,0.2,0.5,0.3,2024-03-01
7,0.5-5k,0.2,0.0,0.8,2024-03-01
7,<0.5k,0.0,0.5,0.5,2024-03-01
8,0.5-5k,0.1,0.2,0.7,2024-03-01
8,<0.5k,0.0,0.4,0.6,2024-03-01
9,0.5-5k,0.1,0.0,0.9,2024-03-01
9,<0.5k,0.1,0.3,0.6,2024-03-01
10,0.5-5k,0.2,0.1,0.7,2024-03-01
10,<0.5k,0.0,0.3,0.7,2024-03-01
11,0.5-5k,0.1,0.0,0.9,2024-03-01
11,<0.5k,0.0,0.2,0.8,2024-03-01
12,0.5-5k,0.0,0.0,1.0,2024-03-01
12,<0.5k,0.0,0.2,0.8,2024-03-01
1,0.5-5k,1.0,0.0,0.0,2025-03-01
1,<0.5k,0.9,0.0,0.1,2025-03-01
2,0.5-5k,1.0,0.0,0.0,2025-03-01
2,<0.5k,0.7,0.1,0.2,2025-03-01
3,0.5-5k,0.9,0.1,0.0,2025-03-01
3,<0.5k,0.8,0.2,0.0,2025-03-01
4,0.5-5k,0.9,0.1,0.0,2025-03-01
4,<0.5k,0.7,0.1,0.2,2025-03-01
5,0.5-5k,0.8,0.2,0.0,2025-03-01
5,<0.5k,0.6,0.0,0.4,2025-03-01
6,0.5-5k,0.7,0.3,0.0,2025-03-01
6,<0.5k,0.4,0.1,0.5,2025-03-01
7,0.5-5k,0.8,0.2,0.0,2025-03-01
7,<0.5k,0.2,0.2,0.6,2025-03-01
8,0.5-5k,0.7,0.3,0.0,2025-03-01
8,<0.5k,0.2,0.1,0.7,2025-03-01
9,0.5-5k,0.7,0.3,0.0,2025-03-01
9,<0.5k,0.2,0.2,0.6,2025-03-01
10,0.5-5k,0.6,0.4,0.0,2025-03-01
10,<0.5k,0.3,0.2,0.5,2025-03-01
11,0.5-5k,0.5,0.5,0.0,2025-03-01
11,<0.5k,0.4,0.2,0.4,2025-03-01
12,0.5-5k,0.5,0.5,0.0,2025-03-01
12,<0.5k,0.3,0.4,0.3,2025-03-01
